,local_warp,cost_func
0,0.09090909090909091,0.08225849716295774
1,0.09090909090909091,0.17261977238118464
2,0.09090909090909091,0.25651939054721207
3,0.09090909090909091,0.3087568629574151
4,0.09090909090909091,0.3433160232728819
5,0.09090909090909091,0.39055154312493945
6,0.09090909090909091,0.42999147799475346
7,0.09090909090909091,0.44898415708783956
8,0.09090909090909091,0.4668700356834712
9,0.09090909090909091,0.48501068726562657
10,0.09090909090909091,0.49730265052487277
11,1.0,0.5004626573703207
12,1.0,0.5073094581440163
13,1.0,0.524820521958554
14,1.0,0.5474547336066101
15,1.0,0.5623657098782036
16,1.0,0.5696980857933951
17,1.0,0.5749352278688038
18,0.3333333333333333,0.5791494004666949
19,0.3333333333333333,0.5855590868230734
20,0.3333333333333333,0.6015768474267914
21,1.0,0.6288774548913246
22,1.0,0.6632727895592723
23,1.0,0.6920887651723717
24,1.0,0.7061935510697785
25,2.0,0.721066759240379
26,1.0,0.7364297371712198
27,1.0,0.7448314552327976
28,1.0,0.7513244095463878
29,1.0,0.7574022473685227
30,1.0,0.7635873694106534
31,1.0,0.7726492848475002
32,1.0,0.786512453455351
33,1.0,0.7959551657531155
34,1.0,0.8022922413914975
35,1.0,0.810216527750877
36,1.0,0.8179298894707362
37,1.0,0.8293232873448891
38,1.0,0.8529085075933546
39,1.0,0.877150935167488
40,1.0,0.8968442041630506
41,1.0,0.9171694437501815
42,1.0,0.943167030324598
43,1.0,0.9652398871725961
44,1.0,0.983541392904733
45,1.0,1.0003969720167025
46,1.0,1.012556119440184
47,1.0,1.0227881136953743
48,1.0,1.0320408979641547
49,1.0,1.0365808609008127
50,1.0,1.0390506883250485
51,1.0,1.0431637123518522
52,1.0,1.0504634162712305
53,1.0,1.0557099078970529
54,1.0,1.062333773878313
55,0.3333333333333333,1.0781635569379922
56,0.3333333333333333,1.0962286152338925
57,0.3333333333333333,1.1107986721611438
58,1.0,1.121604480514956
59,1.0,1.1308182128363282
60,1.0,1.1377195409447547
61,1.0,1.1445858881469828
62,1.0,1.149079426602075
63,1.0,1.1580673342550365
64,1.0,1.1717058441962682
65,1.0,1.1847889107225922
66,1.0,1.1947883048337433
67,1.0,1.2020192286939433
68,1.0,1.2142492391925757
69,1.0,1.2360386460372863
70,1.0,1.2630278753947493
71,0.5,1.2913362114819593
72,0.5,1.3174591052447133
73,1.0,1.339672810355153
74,1.0,1.3616283352406868
75,1.0,1.3776505469513305
76,1.0,1.3847956587599146
77,1.0,1.3942904578623363
78,1.0,1.403090450911508
79,1.0,1.4128355924852762
80,1.0,1.417230026103342
81,1.0,1.4337420580416758
82,1.0,1.4663521723329977
83,1.0,1.5004459328060635
84,1.0,1.523204016669705
85,1.0,1.5376807751304264
86,1.0,1.542085268000018
87,1.0,1.5440869319873944
88,0.5,1.5475544560018317
89,0.5,1.5516975709286975
90,1.0,1.5599718532078657
91,1.0,1.576241112316709
92,1.0,1.6007467985733868
93,1.0,1.6297387411927033
94,1.0,1.6567632296170731
95,1.0,1.6762319775597008
96,1.0,1.6846472836571187
97,1.0,1.6882194100274388
98,1.0,1.690792055368909
99,1.0,1.6930741800512292
100,1.0,1.6961639826197827
101,1.0,1.6999983963363683
102,1.0,1.702908367687996
103,1.0,1.70630543223955
104,0.5,1.7162557798725935
105,0.5,1.7296611375015662
106,1.0,1.742717182117166
107,1.0,1.7537923717489137
108,1.0,1.7610611347277048
109,1.0,1.7643359281375248
110,0.5,1.7700579611267995
111,0.5,1.7768918495683983
112,1.0,1.7845933594986592
113,2.0,1.7940345612270252
114,1.0,1.7976402996128782
115,2.0,1.8000771185823128
116,1.0,1.8023958969436307
117,1.0,1.805195120293166
118,1.0,1.8089300749770902
119,1.0,1.8120394036443426
120,4.0,1.8157220258927327
121,1.0,1.8187820530687056
122,1.0,1.820206849434772
123,1.0,1.8215925551945018
124,1.0,1.8229984524062113
125,1.0,1.824655005842856
126,1.0,1.8267037100247014
127,1.0,1.8285784272385268
128,1.0,1.8303312585217562
129,1.0,1.832006084021025
130,1.0,1.8338847743195643
131,1.0,1.835648648561388
132,1.0,1.8365870142050413
133,1.0,1.837486003039476
134,1.0,1.8389946923816791
135,1.0,1.8404022526990178
136,2.0,1.8423501129352393
137,1.0,1.848447741654451
138,1.0,1.8701528484550007
139,1.0,1.9030255204003743
140,1.0,1.9341068600717655
141,1.0,1.9614889951772947
142,1.0,1.9841455483072505
143,1.0,1.9993956942285094
144,1.0,2.0092902536233295
145,1.0,2.014620371858247
146,2.0,2.022420203244443
147,1.0,2.0301406220379694
148,1.0,2.036715986703305
149,1.0,2.0432345146454796
150,0.16666666666666666,2.0466426439145264
151,0.16666666666666666,2.0498393757238382
152,0.16666666666666666,2.0518726573416304
153,0.16666666666666666,2.0539127529842602
154,0.16666666666666666,2.0577657907311298
155,0.16666666666666666,2.0617362938480785
156,1.0,2.065308464127534
157,1.0,2.068566770356405
158,1.0,2.072447471896385
159,1.0,2.082313848021871
160,1.0,2.0936318061900954
161,1.0,2.106614741760892
162,1.0,2.124305955466057
163,1.0,2.1416341511243777
164,1.0,2.155518720121165
